"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor"
"2019","3","7","Horta-Guinardó","39","Sant Genís dels Agudells",231
"2019","3","7","Horta-Guinardó","40","Montbau",146
"2019","3","7","Horta-Guinardó","41","la Vall d'Hebron",216
"2019","3","7","Horta-Guinardó","43","Horta",285
"2019","3","8","Nou Barris","48","la Guineueta",342
"2019","3","9","Sant Andreu","60","Sant Andreu",406
"2019","3","10","Sant Martí","64","el Camp de l'Arpa del Clot",527
"2019","3","10","Sant Martí","68","el Poblenou",602
"2019","3","10","Sant Martí","70","el Besòs i el Maresme",461
"2019","3","10","Sant Martí","73","la Verneda i la Pau",159
"2019","3","1","Ciutat Vella","1","el Raval",190
"2019","3","1","Ciutat Vella","2","el Barri Gòtic",386
"2019","3","1","Ciutat Vella","3","la Barceloneta",197
"2019","3","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",332
"2019","3","2","Eixample","5","el Fort Pienc",320
"2019","3","2","Eixample","6","la Sagrada Família",276
"2019","3","2","Eixample","7","la Dreta de l'Eixample",543
"2019","3","2","Eixample","8","l'Antiga Esquerra de l'Eixample",456
"2019","3","2","Eixample","9","la Nova Esquerra de l'Eixample",348
"2019","3","2","Eixample","10","Sant Antoni",373
"2019","3","3","Sants-Montjuïc","11","el Poble Sec",230
"2019","3","3","Sants-Montjuïc","12","la Marina del Prat Vermell",121
"2019","3","3","Sants-Montjuïc","13","la Marina de Port",196
"2019","3","3","Sants-Montjuïc","14","la Font de la Guatlla",256
"2019","3","3","Sants-Montjuïc","15","Hostafrancs",395
"2019","3","3","Sants-Montjuïc","16","la Bordeta",216
"2019","3","3","Sants-Montjuïc","17","Sants - Badal",241
"2019","3","3","Sants-Montjuïc","18","Sants",250
"2019","3","4","Les Corts","19","les Corts",342
"2019","3","4","Les Corts","20","la Maternitat i Sant Ramon",384
"2019","3","4","Les Corts","21","Pedralbes",899
"2019","3","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",373
"2019","3","5","Sarrià-Sant Gervasi","23","Sarrià",703
"2019","3","5","Sarrià-Sant Gervasi","24","les Tres Torres",722
"2019","3","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",683
"2019","3","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",687
"2019","3","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",496
"2019","3","6","Gràcia","28","Vallcarca i els Penitents",380
"2019","3","6","Gràcia","29","el Coll",217
"2019","3","6","Gràcia","30","la Salut",334
"2019","3","6","Gràcia","31","la Vila de Gràcia",373
"2019","3","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",321
